image/width,image/height,image/object/part/NOSE_TIP/center/x,image/object/part/NOSE_TIP/center/y,image/object/part/NOSE_TIP/score,image/object/part/LEFT_SHOULDER/center/x,image/object/part/LEFT_SHOULDER/center/y,image/object/part/LEFT_SHOULDER/score,image/object/part/RIGHT_SHOULDER/center/x,image/object/part/RIGHT_SHOULDER/center/y,image/object/part/RIGHT_SHOULDER/score,image/object/part/LEFT_ELBOW/center/x,image/object/part/LEFT_ELBOW/center/y,image/object/part/LEFT_ELBOW/score,image/object/part/RIGHT_ELBOW/center/x,image/object/part/RIGHT_ELBOW/center/y,image/object/part/RIGHT_ELBOW/score,image/object/part/LEFT_WRIST/center/x,image/object/part/LEFT_WRIST/center/y,image/object/part/LEFT_WRIST/score,image/object/part/RIGHT_WRIST/center/x,image/object/part/RIGHT_WRIST/center/y,image/object/part/RIGHT_WRIST/score,image/object/part/LEFT_HIP/center/x,image/object/part/LEFT_HIP/center/y,image/object/part/LEFT_HIP/score,image/object/part/RIGHT_HIP/center/x,image/object/part/RIGHT_HIP/center/y,image/object/part/RIGHT_HIP/score,image/object/part/LEFT_KNEE/center/x,image/object/part/LEFT_KNEE/center/y,image/object/part/LEFT_KNEE/score,image/object/part/RIGHT_KNEE/center/x,image/object/part/RIGHT_KNEE/center/y,image/object/part/RIGHT_KNEE/score,image/object/part/LEFT_ANKLE/center/x,image/object/part/LEFT_ANKLE/center/y,image/object/part/LEFT_ANKLE/score,image/object/part/RIGHT_ANKLE/center/x,image/object/part/RIGHT_ANKLE/center/y,image/object/part/RIGHT_ANKLE/score
61.25,114.43,0.0,0.0,0.0,0.4703673469387755,0.32954644760989255,0.95,0.7157551020408159,0.3957004282093856,0.97,0.40261224489795866,0.18946080573276244,0.88,0.9004081632653057,0.4498820239447696,0.94,0.4373877551020402,0.04605435637507655,0.89,0.9353469387755096,0.40365288822861134,0.58,0.3784489795918368,0.6023769990387137,0.96,0.5601632653061225,0.6220396749104256,0.99,0.10302040816326534,0.7607270820589007,0.96,0.5108571428571422,0.7870313728917242,1.0,0.30285714285714305,0.9415363104081098,0.97,0.7746938775510203,0.9196888927728742,0.98
63.05,112.28,0.0,0.0,0.0,0.46804123711340284,0.32107231920199486,0.97,0.702299762093577,0.3893836836480228,0.97,0.43029341792228387,0.16797292483078005,0.84,0.9105471847739893,0.45110438190238694,0.95,0.452656621728787,0.04488778054862836,0.86,0.9238699444885012,0.3471677947987174,0.8,0.361776367961935,0.6066084788029924,0.95,0.5478191911181606,0.6220163876024225,0.99,0.10420301348136389,0.7593516209476309,0.96,0.49405233941316473,0.7854470965443534,1.0,0.3059476605868362,0.9397043106519415,0.97,0.7738302934179226,0.9164588528678305,0.99
62.39,112.79,0.0,0.0,0.0,0.48036544317999724,0.32032981647309156,0.97,0.7094085590639533,0.40092206755918075,0.96,0.45087353742586944,0.17067115879067293,0.85,0.8982208687289633,0.4675946449153294,0.93,0.49703478121493905,0.044773472825605204,0.86,0.9333226478602343,0.37343736146821527,0.8,0.3519794838916499,0.6098944941927474,0.98,0.5286103542234335,0.62283890415817,0.96,0.10001602820964912,0.7601737742707687,0.98,0.4979964737938771,0.7850873304370956,0.96,0.32264786023401176,0.9368738363330084,1.0,0.789709889405354,0.9164819576203564,0.96
62.48,110.66,0.0,0.0,0.0,0.4865556978233031,0.3047171516356407,0.92,0.7103072983354674,0.3946322067594432,0.92,0.49199743918053795,0.15778058919211982,0.88,0.903008962868118,0.47795047894451465,0.84,0.5326504481434063,0.04518344478583047,0.86,0.9362996158770807,0.3674317729983734,0.71,0.35595390524968007,0.6008494487619734,0.93,0.5408130601792577,0.622627869148744,0.97,0.10067221510883516,0.7703777335984096,0.94,0.5008002560819466,0.7901680824146033,1.0,0.3329065300896289,0.9383697813121273,0.93,0.8103393085787451,0.9193927345020783,0.98
62.85,109.41,0.0,0.0,0.0,0.48607796340493253,0.3049081436797366,0.91,0.703898170246619,0.39923224568138205,0.9,0.4972155926809865,0.16442738323736414,0.86,0.9212410501193322,0.4880723882643269,0.88,0.5667462211614956,0.044877067909697435,0.88,0.9319013524264119,0.3714468512933003,0.75,0.35067621320604647,0.6105474819486337,0.91,0.5284009546539377,0.6272735581756694,0.98,0.10103420843277681,0.7831094049904032,0.94,0.5019888623707242,0.7975504981263138,1.0,0.34908512330946695,0.9388538524814917,0.9,0.8157517899761333,0.9232245681381958,0.97
63.6,112.97,0.0,0.0,0.0,0.4850628930817605,0.3176949632645834,0.82,0.6853773584905656,0.3964769407807382,0.89,0.4812893081761008,0.17163848809418417,0.79,0.8704402515723272,0.4834026732760909,0.86,0.5586477987421379,0.043285828095954555,0.78,0.9298742138364777,0.373373461981057,0.76,0.35566037735849065,0.6036115782951226,0.88,0.5124213836477983,0.6146764627777286,0.96,0.10125786163522009,0.7699389218376559,0.93,0.4877358490566035,0.7872001416305214,1.0,0.3421383647798741,0.9398955474904843,0.9,0.8072327044025153,0.9061697795875011,0.97
62.43,113.98,0.0,0.0,0.0,0.47941694698061843,0.3260221091419547,0.88,0.6857280153772225,0.41752939112124937,0.92,0.4467403491910938,0.1771363397087208,0.81,0.8817876021143682,0.48955957185471144,0.89,0.5036040365209034,0.04492016143183018,0.84,0.9306423193977258,0.3783119845586945,0.75,0.33237225692775907,0.6113353219863135,0.96,0.4787762293769019,0.6168626074749957,0.92,0.10780073682524456,0.7853132128443585,1.0,0.4979977574883866,0.7959291103702404,0.94,0.3596027550856958,0.9405158799789436,0.95,0.8217203267659781,0.9194595543077734,0.95
57.39,112.65,0.5387698205262234,0.23089214380825557,0.36,0.4263809025962706,0.28814913448735,0.91,0.6556891444502526,0.37141588992454505,0.95,0.26311204042516056,0.16928539724811356,0.87,0.813382122320961,0.44917887261429196,0.84,0.19898937097055164,0.04518419884598316,0.86,0.9299529534762144,0.3626276076342654,0.82,0.29221118661787737,0.569196626719929,0.97,0.45460881686704957,0.5785175321793163,0.97,0.1155253528489283,0.7524189968930314,0.96,0.453389092176337,0.7673324456280515,0.95,0.3552883777661611,0.9512649800266311,1.0,0.7861996863565072,0.9051043053706167,0.97
58.76,111.19,0.5335262083049688,0.1802320352549689,0.41,0.4320966643975491,0.25155139850706,0.97,0.6604833219877458,0.3364511197050094,0.91,0.19639210347174887,0.17186797373864543,0.94,0.7896528250510548,0.4020145696555445,0.9,0.1038121170864528,0.05477111251011785,0.95,0.9242682096664389,0.32197140030578275,0.85,0.30343771272974784,0.543034445543664,0.97,0.4649421375085091,0.5604820577390053,0.97,0.15214431586112998,0.7220973109092543,0.97,0.43771272974812747,0.7349581796924184,0.95,0.3742341729067385,0.94810684414066,1.0,0.7665078284547305,0.9025991546002338,0.94
62.89,100.53,0.0,0.0,0.0,0.4865638416282401,0.1511986471699989,0.96,0.6931149626331686,0.2158559633940116,0.91,0.2604547622833518,0.15010444643390009,0.95,0.8013992685641593,0.2691733810802743,0.88,0.0863412307203054,0.054013727245598116,0.96,0.9410081093973606,0.20829603103551175,0.85,0.41087613293051317,0.4666268775489903,0.98,0.5659087295277464,0.47289366358300994,0.94,0.32151375417395495,0.6848701880035809,0.99,0.5932580696454126,0.6774097284392718,0.96,0.4693910001590075,0.9299711528896845,1.0,0.7808872634759105,0.8550681388640204,0.94
