image/width,image/height,image/object/part/NOSE_TIP/center/x,image/object/part/NOSE_TIP/center/y,image/object/part/NOSE_TIP/score,image/object/part/LEFT_SHOULDER/center/x,image/object/part/LEFT_SHOULDER/center/y,image/object/part/LEFT_SHOULDER/score,image/object/part/RIGHT_SHOULDER/center/x,image/object/part/RIGHT_SHOULDER/center/y,image/object/part/RIGHT_SHOULDER/score,image/object/part/LEFT_ELBOW/center/x,image/object/part/LEFT_ELBOW/center/y,image/object/part/LEFT_ELBOW/score,image/object/part/RIGHT_ELBOW/center/x,image/object/part/RIGHT_ELBOW/center/y,image/object/part/RIGHT_ELBOW/score,image/object/part/LEFT_WRIST/center/x,image/object/part/LEFT_WRIST/center/y,image/object/part/LEFT_WRIST/score,image/object/part/RIGHT_WRIST/center/x,image/object/part/RIGHT_WRIST/center/y,image/object/part/RIGHT_WRIST/score,image/object/part/LEFT_HIP/center/x,image/object/part/LEFT_HIP/center/y,image/object/part/LEFT_HIP/score,image/object/part/RIGHT_HIP/center/x,image/object/part/RIGHT_HIP/center/y,image/object/part/RIGHT_HIP/score,image/object/part/LEFT_KNEE/center/x,image/object/part/LEFT_KNEE/center/y,image/object/part/LEFT_KNEE/score,image/object/part/RIGHT_KNEE/center/x,image/object/part/RIGHT_KNEE/center/y,image/object/part/RIGHT_KNEE/score,image/object/part/LEFT_ANKLE/center/x,image/object/part/LEFT_ANKLE/center/y,image/object/part/LEFT_ANKLE/score,image/object/part/RIGHT_ANKLE/center/x,image/object/part/RIGHT_ANKLE/center/y,image/object/part/RIGHT_ANKLE/score
96.17,249.78,0.0,0.0,0.0,0.32421753145471566,0.2609096004483944,0.98,0.7229905375896852,0.2506605813115542,0.98,0.19694291359051735,0.3542717591480503,0.92,0.8894665696163047,0.14492753623188379,0.97,0.0,0.0,0.0,0.7840282832484146,0.03579149651693467,0.95,0.375896849329313,0.5194571222675954,0.98,0.6374129146303422,0.5225398350548482,0.98,0.24716647603202702,0.7238770117703577,0.97,0.5606738068004576,0.7449355432780844,0.97,0.12613081002391652,0.9307390503643207,0.97,0.5376936674638665,0.9549203298903034,0.94
96.24,250.75,0.0,0.0,0.0,0.34102244389027425,0.258584247258225,0.99,0.7338944305901912,0.2567896311066799,0.98,0.1314422277639239,0.2997806580259221,0.98,0.8915211970074814,0.1490329012961117,0.97,0.10141313383208636,0.23146560319042858,0.96,0.779613466334165,0.03629112662013967,0.92,0.3756234413965091,0.5218743768693919,0.98,0.6412094763092273,0.5240279162512461,0.98,0.25353283458021647,0.7304486540378862,0.98,0.5651496259351619,0.7495513459621134,0.98,0.1285328345802162,0.9373080757726818,0.98,0.5423940149625934,0.9533399800598203,0.92
95.53,248.09,0.0,0.0,0.0,0.3492096723542344,0.24712805836591537,0.98,0.7378833874175652,0.25119916159458233,0.98,0.128964723123626,0.2524890160828731,0.98,0.8900868837014554,0.13833689386916012,0.97,0.08384800586203277,0.18602120198315117,0.97,0.7910603998743849,0.03720424039662987,0.96,0.3733905579399143,0.519045507678665,0.99,0.634251020621794,0.5224716836631867,0.97,0.2561499005547998,0.72546253375791,0.98,0.560138176489061,0.7434398806884596,0.97,0.14173558044593343,0.9342174210971824,0.98,0.544750340207265,0.9540489338546493,0.97
100.6,245.01,0.0,0.0,0.0,0.37683896620278357,0.24166360556711985,0.98,0.7393638170974155,0.24892861515856501,0.98,0.1655069582504968,0.23550059181257926,0.97,0.8962226640159049,0.138484143504347,0.97,0.08121272365805185,0.17921717480919133,0.96,0.8116302186878726,0.03612097465409585,0.96,0.38767395626242546,0.5151626464225951,0.98,0.6347912524850896,0.5174482674176564,0.97,0.2750497017892646,0.7222970491000369,0.98,0.5716699801192843,0.7393983919023712,0.97,0.18757455268389667,0.9416758499653077,0.98,0.5649105367793239,0.9527774376556062,0.97
104.62,241.04,0.0,0.0,0.0,0.3861594341426111,0.22589611682708283,0.98,0.7379086216784552,0.23825921008961196,0.97,0.16239724718027154,0.24157816130102897,0.98,0.9012617090422483,0.1305592432791239,0.97,0.08038615943414285,0.17714902090939283,0.96,0.8436245459759127,0.03646697643544625,0.95,0.38004205696807486,0.4971374045801529,0.99,0.6368763142802523,0.5060985728509791,0.96,0.2832154463773657,0.7156903418519748,1.0,0.5777098069202828,0.7322021241287754,0.97,0.21076276046645012,0.941793893129771,0.99,0.5735996941311412,0.9534517092598741,0.94
106.75,241.41,0.0,0.0,0.0,0.38238875878220135,0.23594714386313756,0.96,0.7329274004683841,0.2417878298330641,0.97,0.1764871194379394,0.26390787457023335,0.97,0.8991100702576114,0.14328321113458445,0.97,0.08543325526932088,0.19456526241663571,0.97,0.8443091334894613,0.036701048009610264,0.97,0.3903512880562062,0.5086367590406361,0.97,0.6190163934426228,0.5116192369827265,0.97,0.2765339578454331,0.7110724493600098,0.97,0.5776112412177988,0.7347665796777266,0.97,0.2189227166276347,0.944989851290336,0.97,0.5821077283372365,0.9520732364028004,0.97
108.21,237.84,0.0,0.0,0.0,0.3783384160428796,0.22948200470904828,0.99,0.7333887810738381,0.23759670366633073,0.98,0.164310137695222,0.2525647494113692,0.98,0.9006561315959707,0.13841237806929058,0.98,0.08150817854172436,0.18453582240161495,0.98,0.865724055078089,0.03603262697611861,0.9,0.39571204140097954,0.5082408341742347,0.99,0.6402365770261527,0.5121510258997648,0.97,0.2775159412253948,0.7165741675075684,0.98,0.5688938175769338,0.7361251261352171,0.96,0.22964605858977882,0.9464766229397915,0.98,0.5906108492745584,0.9513538513286247,0.95
111.56,242.96,0.0,0.0,0.0,0.39082108282538564,0.24469048403029275,0.98,0.7301003944065977,0.24855943365162983,0.97,0.1727321620652567,0.2686450444517615,0.98,0.9020258157045535,0.15414059927560064,0.97,0.08587307278594515,0.1994978597299968,0.98,0.8576550735030477,0.0360964767863022,0.96,0.3975439225528865,0.5161755021402699,0.98,0.6154535675869489,0.5162989792558443,0.97,0.2788633918967373,0.7210240368784983,0.98,0.5761921835783438,0.7341537701679288,0.97,0.24498027967013303,0.9368208758643398,0.94,0.6038902832556472,0.9501564043463945,0.84
107.72,241.57,0.0,0.0,0.0,0.37829558113627926,0.23632901436436657,0.98,0.7101745265503157,0.2525561948917498,0.98,0.14017823988117362,0.261911661216211,0.98,0.9043817304121798,0.15655917539429587,0.98,0.07176011882658762,0.19236660181313917,1.0,0.8734682510211663,0.036759531398766386,0.96,0.38432974378017115,0.518483255371114,0.98,0.6196620868919421,0.5211325909674219,0.97,0.24972150018566686,0.7228960549737137,0.98,0.5879131080579278,0.738833464420251,0.97,0.22344968436687704,0.9388996978101588,0.96,0.6083364277757151,0.9496626236701581,0.96
109.66,235.66,0.0,0.0,0.0,0.3837315338318438,0.21802596961724516,0.99,0.701532008024804,0.23512687770516832,0.98,0.14006930512493174,0.2372485784604938,1.0,0.9077147546963343,0.13557667826529765,0.98,0.07851541127120203,0.1651956208096408,0.99,0.8895677548787162,0.03534753458372249,0.92,0.4078971366040491,0.5017822286344734,0.98,0.6333211745394856,0.5018670966646863,0.97,0.2601677913550973,0.7215904268861918,0.98,0.6031369688126936,0.7325384027836713,0.96,0.23609337953674983,0.9396588305185439,0.97,0.6308590187853366,0.9461512348298398,0.94
